animeID,studio
1030,Studio Ghibli
1032,Studio Pierrot
1033,Madhouse
1035,Magic Bus
1039,OLM
1043,Madhouse
1044,Toei Animation
1047,Studio Ghibli
1048,Tatsunoko Production
1049,Oh! Production
1050,Toei Animation
1055,Group TAC
1056,Production I.G
1057,Group TAC
1060,Gainax
1064,"""Brains Base"""
1065,Studio Gallop
1066,J.C.Staff
1067,View Works
1068,Sunrise
1068,Toei Animation
1069,Sunrise
1069,Toei Animation
1070,Radix
1071,Doga Kobo
1072,Studio 4°C
1074,Studio Pierrot
1075,Studio Hibari
1076,TMS Entertainment
1078,Madhouse
1079,AIC
1080,Gonzo
1081,Madhouse
1082,J.C.Staff
1083,A.C.G.T.
1084,Studio Pierrot
1085,Toei Animation
1086,Bones
1087,Studio Pierrot
1088,Artland
1088,Tatsunoko Production
1089,Artland
1089,Tatsunoko Production
1090,Sunrise
1091,Sunrise
1092,Sunrise
1093,Shin-Ei Animation
1094,Toei Animation
1095,Production I.G
1095,Studio Deen
1096,Production I.G
1096,Production Reed
1097,Studio Hibari
1098,Gonzo
1100,J.C.Staff
1101,AIC
1102,Romanov Films
1103,OLM
1104,OLM
1105,Studio 4°C
1106,Studio 4°C
1107,Madhouse
1108,Studio Deen
1109,Madhouse
1110,Actas
1110,SynergySP
1111,Gonzo
1112,Gonzo
1115,J.C.Staff
1116,Triangle Staff
1117,OLM
1118,OLM
1119,OLM
1120,OLM
1121,OLM
1122,OLM
1123,Toei Animation
1124,Sunrise
1126,OLM
1127,TNK
1128,TNK
1129,TNK
1130,Studio Gallop
1132,Toei Animation
1133,AIC
1135,Kyoto Animation
1136,Sunrise
1137,Toei Animation
1138,Bee Train
1139,Group TAC
1140,Gonzo
1141,Palm Studio
1142,J.C.Staff
1143,Bee Train
1145,Studio Pierrot
1146,AIC
1148,Madhouse
1149,Gonzo
1151,Agent 21
1152,J.C.Staff
1153,Toei Animation
1154,Toei Animation
1155,Gonzo
1156,Gonzo
1157,Gonzo
1158,Chaos Project
1161,J.C.Staff
1162,J.C.Staff
1163,Studio Pierrot
1164,J.C.Staff
1165,Madhouse
1167,Studio Egg
1168,Studio Deen
1171,J.C.Staff
1172,J.C.Staff
1174,Kyoto Animation
1178,AIC
1178,Artmic
1179,Madhouse
1180,Studio Pierrot
1182,Triangle Staff
1184,E&G Films
1185,AIC
1186,AIC
1187,Madhouse
1188,Studio Deen
1189,Studio Deen
1190,Production I.G
1191,Hal Film Maker
1193,Studio Hibari
1194,ufotable
1195,J.C.Staff
1196,Artland
1198,Trinet Entertainment
1198,Studio Hibari
1199,Ajia-Do
1202,Trans Arts
1204,Tamura Shigeru Studio
1207,Mushi Production
1208,Toei Animation
1209,Madhouse
1209,Telecom Animation Film
1210,Gonzo
1211,Triangle Staff
1212,Hal Film Maker
1214,Toei Animation
1215,Sunrise
1216,J.C.Staff
1218,Daume
1219,Nomad
1220,CoMix Wave Films
1221,Toei Animation
1222,Artland
1224,Madhouse
1225,Studio Junio
1226,Sunrise
1227,Nippon Animation
1228,Daume
1230,"""Brains Base"""
1231,Hal Film Maker
1232,Zero-G Room
1234,Tokyo Kids
1235,Studio Pierrot
1236,Toei Animation
1237,Toei Animation
1238,Toei Animation
1239,Toei Animation
1240,Toei Animation
1240,Production Reed
1241,Sunrise
1243,Bee Media
1244,J.C.Staff
1245,Madhouse
